modelo,config,query_id,P@10,R@10,AP,NDCG@10
vetorial,nada,134,0.0,0.0,0.05829228243021346,0.0
vetorial,nada,135,0.3,0.375,0.4685336824123589,0.25729114201616105
vetorial,nada,136,0.1,0.3333333333333333,0.21452991452991452,0.49186387954915173
vetorial,nada,137,0.2,0.5,0.1630338784583019,0.2495454391052197
vetorial,nada,138,0.0,0.0,0.04993885038728088,0.0
vetorial,nada,139,0.0,0.0,0.00626763975189172,0.0
vetorial,nada,140,0.1,0.16666666666666666,0.11307262041620865,0.2508964126725128
vetorial,nada,141,0.2,0.3333333333333333,0.2353691573726794,0.45391127530971964
vetorial,nada,142,0.0,0.0,0.001287001287001287,0.0
vetorial,nada,143,0.1,0.5,0.11274509803921567,0.21840743681816419
vetorial,nada,144,0.5,0.8333333333333334,0.7464285714285714,0.8135275303816758
vetorial,nada,145,0.4,0.5714285714285714,0.4905015944786009,0.6263065635108556
vetorial,nada,146,0.2,1.0,0.625,0.6199062332840657
vetorial,nada,147,0.3,0.3,0.2896596696366207,0.4140486317733214
vetorial,nada,148,0.3,0.5,0.43903286256227436,0.6286824150385667
vetorial,nada,149,0.4,0.36363636363636365,0.32708021043385493,0.4341754806679218
vetorial,nada,150,0.2,1.0,0.5833333333333333,0.6934264036172708
vetorial,nada,151,0.0,0.0,0.015468477379322965,0.0
vetorial,nada,152,0.1,0.16666666666666666,0.03157287307096917,0.1615549582363037
vetorial,nada,153,0.3,0.42857142857142855,0.2329720542915179,0.27746701228647497
vetorial,nada,154,0.2,1.0,0.30952380952380953,0.46927872602275644
vetorial,nada,155,0.3,0.5,0.40224283154611024,0.4026679609792231
vetorial,nada,156,0.6,0.42857142857142855,0.494973647074891,0.519125722475842
vetorial,nada,157,0.5,0.1282051282051282,0.29017172712933365,0.322124973745486
vetorial,nada,158,0.1,0.125,0.09386289042400918,0.1404185650537983
vetorial,nada,159,0.0,0.0,0.03771903365090451,0.0
vetorial,nada,160,0.1,0.2,0.05718513317542775,0.14025592292804667
vetorial,nada,161,0.3,0.5,0.4478529136423873,0.7042149599999705
vetorial,nada,162,0.3,0.375,0.26921478909167185,0.3478848489326321
vetorial,nada,163,0.2,0.6666666666666666,0.2231182795698925,0.38364913903790027
vetorial,nada,164,0.3,0.375,0.31119083452936463,0.40244770764543103
